alpha,beta,||A||,||A-1||,v(A),||z||,ksi,||r||,rho
1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,1.000000e+01,1.000000e+01,1.559014e+00,1.559014e+01,1.100599e-05,1.142137e-05,1.179232e-05,1.260564e-06
1.000000e+00,1.000000e+02,1.000000e+02,1.206361e+00,1.206361e+02,5.393058e-04,5.555555e-04,5.393273e-04,5.671257e-06
1.000000e+00,1.000000e+03,1.000000e+03,1.029089e+00,1.029089e+03,5.985543e-03,6.098912e-03,5.985543e-03,6.120074e-06
1.000000e+00,1.000000e+04,1.000000e+04,1.003039e+00,1.003039e+04,6.034503e-02,6.093613e-02,6.034503e-02,6.660790e-06
alpha,beta,||A||,||A-1||,v(A),||z||,ksi,||r||,rho
1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-01,1.000000e+00,1.000000e+00,1.559014e+01,1.559014e+01,2.534532e-06,2.542516e-06,2.894256e-07,2.928556e-07
1.000000e-02,1.000000e+00,1.000000e+00,1.206361e+02,1.206361e+02,5.127458e-04,5.175639e-04,5.127678e-06,5.481420e-06
1.000000e-03,1.000000e+00,1.000000e+00,1.029089e+03,1.029089e+03,4.046465e-03,4.048431e-03,5.361214e-06,5.710315e-06
1.000000e-04,1.000000e+00,1.000000e+00,1.003039e+04,1.003039e+04,6.027047e-02,6.029797e-02,6.027047e-06,6.232916e-06
